Group,Indicator,Units,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Total,Visitor arrivals,persons,"676,221","653,652","767,989","667,787","701,047","776,972","815,600","757,539","623,899","670,039","659,531","792,742","711,868","685,557","775,981","677,378","707,394","798,095","832,486","775,621","657,703","693,242","687,204","819,274","741,283","694,710","797,394","742,474","740,173","835,365","892,176","816,541","690,763","718,961","739,672","868,100","782,699","761,979","883,424","778,961","788,891","889,864","934,265","843,585","706,423","741,274","766,631","883,453","805,567","764,513","917,026","824,610","836,058","946,373","995,210","926,417","718,042","775,675","792,547","941,128","846,137","808,824","428,997","4,985","10,013","17,733","22,574","23,356","18,409","76,691","183,779","236,575","171,980","235,271","439,796","484,547","629,847","791,520","879,554","723,017","504,586","550,785","614,018","752,840","567,101","613,085","788,910","809,498","773,685","841,108","918,616","829,772","692,205","727,400","719,022","858,269","775,813","733,764","892,737","806,931","790,494","886,344","930,204","766,573","648,145","700,390","721,342","847,257","745,644","752,700","865,831","740,720","757,841","872,620","925,263","819,152","688,831","738,989","762,662","892,000"
US West,Visitor arrivals,persons,"242,996","242,651","308,139","297,990","293,064","343,203","347,142","314,877","242,170","269,426","287,114","318,881","256,674","262,379","317,529","296,852","303,704","360,698","367,610","324,957","254,694","285,837","295,213","338,002","267,948","264,174","325,241","331,848","317,178","370,863","382,224","338,106","282,220","302,810","323,168","362,415","300,612","293,447","362,719","350,226","344,097","408,497","421,371","358,430","292,805","328,242","360,081","383,367","317,655","312,235","399,049","388,573","387,844","452,958","462,676","420,750","305,808","354,007","375,244","418,520","354,115","352,707","204,978","3,143","6,430","10,465","12,798","13,190","10,170","53,452","137,452","152,276","111,998","165,022","296,168","352,552","417,174","522,434","578,801","469,647","337,892","364,715","409,789","447,395","326,483","369,845","455,074","514,847","453,956","498,068","528,123","467,082","395,202","410,724","410,619","447,326","383,027","379,163","463,929","465,273","431,944","487,490","499,561","392,704","329,347","362,239","380,613","424,808","356,174","373,230","432,783","400,070","403,981","479,039","503,378","432,919","359,688","385,632","412,996","452,023"
US East,Visitor arrivals,persons,"157,170","142,888","170,061","136,331","152,946","184,698","187,463","145,627","106,802","128,802","118,947","171,933","171,361","154,299","181,776","132,356","155,527","188,522","186,648","152,592","129,641","127,605","127,555","184,884","175,719","158,911","189,248","149,785","172,017","210,936","218,321","164,280","126,203","142,348","139,960","193,068","182,798","175,894","215,224","154,907","187,316","224,106","228,128","176,611","139,310","150,190","142,281","196,692","185,253","176,777","225,648","159,115","199,344","240,223","243,498","199,659","133,185","148,075","150,386","215,358","199,815","194,113","119,571","1,310","2,904","5,733","7,462","7,668","6,141","19,600","40,202","71,630","50,840","63,915","133,199","119,370","195,775","247,527","273,088","223,513","145,357","157,200","156,181","229,345","183,973","183,637","234,094","188,871","222,108","249,502","248,988","217,258","170,987","177,002","164,352","228,357","213,249","203,071","245,271","186,686","217,893","247,303","249,489","183,226","153,737","164,925","152,721","209,574","192,490","189,952","229,350","176,339","209,711","231,186","231,490","192,398","160,299","167,862","163,237","228,169"
Japan,Visitor arrivals,persons,"111,706","114,764","127,766","96,135","115,529","116,025","132,061","153,081","135,796","131,841","120,454","127,145","115,455","116,771","125,308","101,087","113,024","118,078","125,234","153,725","132,217","132,597","129,851","124,631","116,479","125,404","135,002","103,958","115,020","122,892","134,376","164,467","136,275","127,899","122,797","120,774","111,560","119,874","133,019","105,587","110,986","121,223","126,247","158,965","128,342","123,526","122,828","127,620","120,418","120,653","133,858","119,487","113,226","126,592","134,587","160,728","143,928","134,557","131,536","136,635","117,995","124,122","44,133",20,16,42,53,334,86,161,451,"1,724","1,173",632,937,"1,190","1,055","1,279","2,276","2,424","1,505","1,842","2,207","2,418","1,486","1,257","3,243","6,838","6,732","10,315","18,928","31,151","27,332","24,171","25,968","35,142","22,995","28,997","38,810","30,399","37,030","46,592","50,310","77,090","64,580","58,605","63,416","70,348","52,911","55,716","64,641","50,626","46,124","59,874","66,557","63,964","64,940","66,957","60,684","70,825"
Canada,Visitor arrivals,persons,"71,278","64,288","76,610","45,019","26,174","18,530","26,639","27,996","20,324","29,185","43,041","63,240","62,427","57,059","65,100","40,571","21,134","17,231","25,310","27,351","19,244","27,205","43,742","62,940","64,626","60,724","69,345","48,772","25,292","19,052","27,107","29,948","22,989","29,903","52,398","69,908","71,255","65,747","76,664","53,790","27,431","19,955","28,194","28,803","22,109","31,135","53,867","69,753","69,687","66,590","76,913","56,749","26,424","19,172","26,939","28,672","21,928","32,250","50,598","64,182","66,442","65,352","26,885",9,22,59,93,102,173,389,802,"4,063","3,053",508,337,538,553,626,"2,019","6,358","4,508","9,966","22,792","36,641","23,733","29,520","55,806","43,914","25,802","16,259","26,684","28,667","22,158","33,550","46,805","61,351","59,242","57,763","67,744","40,964","24,241","20,443","27,790","23,382","18,647","26,374","50,252","57,885","54,002","52,048","60,716","38,936","20,301","16,380","21,551","24,509","19,188","26,284","48,533","53,203"
Europe,Visitor arrivals,persons,"7,519","8,965","11,193","10,469","12,212","11,403","16,186","19,594","14,796","13,412","8,475","10,795","7,975","8,699","9,532","12,682","10,798","9,663","16,270","19,489","15,697","13,762","8,685","10,670","8,229","8,371","10,308","12,081","11,357","9,284","16,508","18,506","14,465","14,501","8,791","10,265","7,801","9,064","9,750","13,341","11,836","9,413","17,242","18,211","14,364","14,296","9,260","10,376","8,022","8,282","8,139","11,260","10,332","8,940","16,059","18,525","14,107","14,892","9,097","10,252","7,629","8,574","4,067",43,31,50,83,97,68,154,331,424,350,319,543,723,925,"1,020","1,227","1,695","1,146","1,415","3,810","5,602","3,937","5,072","5,564","8,668","10,082","7,212","15,531","18,246","13,517","12,199","6,554","7,458","6,374","6,680","7,420","10,233","9,802","7,417","14,824","16,481","11,995","11,176","7,061","7,777","4,793","6,014","5,468","7,342","7,207","5,131","10,228","13,945","9,277","10,546","5,660","5,818"
Oceania,Visitor arrivals,persons,"31,606","20,010","25,190","29,254","38,194","36,859","36,407","33,873","48,009","37,300","28,675","34,241","31,981","18,262","23,365","35,511","35,568","35,480","35,427","31,936","44,506","37,667","27,930","32,733","33,006","19,623","24,181","33,633","37,274","36,793","37,486","36,737","42,630","34,627","29,386","35,580","33,325","20,899","26,793","37,667","41,439","37,399","39,042","35,132","46,770","36,685","27,829","32,785","31,308","17,056","20,234","30,801","33,773","32,705","37,431","31,561","43,661","33,174","23,064","28,784","26,830","15,233","8,131",9,25,40,52,40,45,59,117,130,127,56,157,157,233,300,374,429,264,251,536,"3,640","4,645","2,635","7,000","13,283","12,879","15,847","21,171","20,073","24,069","24,042","18,153","22,754","22,890","12,012","13,661","20,144","20,833","21,780","21,524","19,438","24,765","24,304","15,383","19,395","22,880","15,090","14,929","13,356","13,660","17,472","17,892","17,115","19,247","19,714","16,026","19,245"
China,Visitor arrivals,persons,"10,476","22,112","10,386","12,747","18,759","17,048","15,861","16,512","15,893","13,440","8,673","11,613","13,419","18,122","9,418","13,062","20,164","18,298","15,982","13,281","12,720","14,265","6,992","8,603","19,758","9,701","7,295","14,099","14,260","11,400","12,408","11,346","13,193","10,508","7,559","9,705","8,919","19,266","7,860","10,396","12,262","12,691","8,965","10,015","11,177","7,325","6,184","8,187","10,944","11,604","6,740","6,502","8,231","9,119","8,562","7,924","6,179","5,039","4,258","6,980","12,445","2,151",467,11,18,29,20,44,27,73,188,404,105,81,141,167,654,597,463,564,340,361,873,"2,341",835,386,"1,649",685,"1,251","1,244","1,100","1,264",875,660,"1,036","2,786","2,413",938,"2,021","1,994","2,864","2,845","3,898","4,601","3,405","1,935","2,465","4,587","1,097","1,200","1,265",840,"1,781","1,557","1,252","1,334",895,"1,183","1,156","2,233"
Korea,Visitor arrivals,persons,"18,164","13,857","12,711","15,007","15,144","13,723","15,657","15,052","14,356","18,213","20,256","21,519","24,223","22,634","15,942","17,998","17,777","18,420","23,137","21,421","21,623","25,353","23,660","24,999","26,849","24,599","14,714","18,589","17,749","21,336","23,947","21,347","24,964","25,104","28,908","31,097","30,683","24,387","15,581","17,446","16,845","16,044","18,972","18,051","18,623","18,058","15,769","17,890","27,907","21,871","13,353","14,896","16,035","16,535","19,109","18,527","17,456","20,261","20,272","22,833","25,956","18,063","2,302",16,25,25,17,67,69,52,92,201,210,171,228,340,403,529,743,869,826,969,"2,899","2,465","1,938","1,284","2,029","5,686","11,701","10,732","13,012","12,085","12,436","14,378","11,869","14,711","18,015","14,750","9,005","12,013","12,936","12,731","14,150","11,388","15,466","13,209","12,601","15,442","17,556","15,736","12,745","11,671","10,832","11,935","13,965","13,260","10,979","11,356","12,152","13,786"
Latin America,Visitor arrivals,persons,"3,026","2,019","2,162","2,106","2,394","1,966","3,729","2,033","1,885","1,911","1,406","3,342","2,820","2,368","1,930","1,944","2,078","1,650","3,006","1,765","1,843","2,167","1,355","3,149","2,708","1,639","1,356","2,129","2,079","1,616","3,079","1,718","1,725","2,317","1,296","3,324","3,276","2,386","2,417","2,344","2,310","1,780","3,116","1,622","1,820","2,153","1,392","3,161","2,525","1,728","1,565","2,888","2,599","1,471","2,831","1,833","1,981","2,062","1,272","2,588","2,342","1,842",881,7,13,40,108,66,66,118,239,490,282,194,366,436,711,792,"1,200",988,"1,055",801,974,"1,548","1,359","1,326","1,305","1,977","1,811","1,258","2,342","1,824","1,968","1,982","1,395","2,202","2,232","2,047","2,025","2,650","2,261","1,895","3,216","2,555","2,305","2,256","1,701","2,977","2,353","2,003","2,101","1,996","2,294","1,634","3,390","3,291","2,322","2,559","1,830","3,255"